track,preprocessing,reduction,selection,model,accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec
binary,quantile,pca,none,svm,0.9762605743358512,0.9600497419749088,0.9195627284311624,0.9393491431931305,0.9954380538084054,1.1983474586547045,0.1794926526684624
binary,quantile,none,none,svm,0.9759997047666888,0.9599850796572108,0.9182578127570824,0.9386473437523838,0.6722355208749881,3.4339959026741176,0.2847362083266488
binary,quantile,svd,none,svm,0.9746084382017208,0.9592919848944228,0.9117372058691702,0.934880886612206,0.9949668026834174,1.148070416325936,0.1574930836698816
binary,quantile,none,embedded_l1,svm,0.9735649372427342,0.955328443244949,0.910435694322936,0.9322767242935608,0.6734177009411039,2.0275298889998035,0.2474701530009042
binary,standard,svd,none,svm,0.9719129372026316,0.9540997878921448,0.903042495997313,0.9278551923842504,0.6713731866251522,0.9640825416621132,0.2098747636773623
binary,minmax,svd,none,mlp_ann,0.9718258597071084,0.921840205234462,0.9386967636956572,0.9301776761288746,0.6711677994911801,3.411314125007872,0.0010637360004087
binary,minmax,pca,none,svm,0.971738963670289,0.9553049939208674,0.900867258304086,0.9272756124957788,0.9943677221700136,1.111672430667871,0.1555041390044303
binary,robust,svd,none,svm,0.9716520222687935,0.9536070906951398,0.902172173978166,0.9271632111994093,0.6725110393167033,0.925624778009175,0.1353397363175948
binary,robust,pca,none,svm,0.9715650128202844,0.9544102791954484,0.9008661235948044,0.9268510539984214,0.9944497405673426,1.0639272083256703,0.1418490696717829
binary,standard,none,none,mlp_ann,0.9714779353247608,0.9526776810434372,0.9021676351410388,0.9267083134921892,0.987729453623172,1.280556500016246,0.001344763644738
binary,minmax,pca,none,mlp_ann,0.97130405252177,0.9279308271616274,0.9286903298940294,0.928281531423865,0.9902614932613414,2.223597319670565,0.0007816109961519
binary,standard,pca,none,svm,0.9712172018496268,0.9543338348420056,0.8991277489750739,0.925893698515734,0.9944401684690568,1.0699783753273853,0.141215194336837
binary,robust,none,none,svm,0.9707823814304598,0.954675583488839,0.896520187045478,0.9246484733276006,0.6739731937267864,3.1519071946580275,0.2483644579964068
binary,standard,none,none,svm,0.9706954400289644,0.9546414158338128,0.8960844586812634,0.9244114878301734,0.994633391316184,3.0067383889885,0.2462356113440667
binary,robust,none,embedded_l1,mlp_ann,0.9703476971053208,0.9454755199570868,0.903907711824692,0.9241857534346462,0.6684679306520174,1.4043741253359865,0.0010148746562966
binary,standard,pca,none,mlp_ann,0.9702608917978534,0.9426010213372388,0.9065186778821333,0.9241794560237936,0.9881876764213838,1.0614324719936123,0.0008028890006243
binary,robust,none,none,mlp_ann,0.9701737462553162,0.9464124530096452,0.902171039268884,0.9236869086634346,0.6643468837080649,1.3966551389991462,0.0013988749900211
binary,robust,none,embedded_l1,svm,0.9693041961463345,0.9509449879703044,0.8926054400232388,0.9208304178548392,0.6746340096129853,2.155998027670042,0.257291333323034
binary,robust,pca,none,mlp_ann,0.9692173227918528,0.9462967971665116,0.8969502418632834,0.920946339542903,0.985383511221437,1.0066260696718623,0.0009074306581168
binary,quantile,svd,filter_chi2,svm,0.9691303133433434,0.9542755835636616,0.8882634749563988,0.9200645029494492,0.993077936738766,1.0519944583356846,0.1712933196686208
binary,standard,svd,none,mlp_ann,0.9689564985873668,0.9362367023145328,0.9065186778821333,0.9211323593686376,0.6682250397627203,1.3340811113303062,0.0010888889955822
binary,minmax,svd,filter_correlation,mlp_ann,0.9689561356699588,0.9463598696333264,0.8956407873520765,0.920111094737709,0.6733562064843651,2.6222948476691577,0.00089968033717
binary,standard,none,embedded_l1,mlp_ann,0.9689561356699588,0.9561785288794468,0.8856576150907257,0.9192190510613006,0.9842420900237692,1.4080215416712842,0.0010445416652752
binary,quantile,pca,filter_chi2,svm,0.9688693757271674,0.954159279513963,0.8869568572183963,0.9193277449317372,0.9924361355941504,1.10981155532257,0.1716015416798957
binary,standard,svd,filter_chi2,svm,0.9688693303624916,0.949533841820422,0.8917356853587327,0.9197127029080472,0.6712340653812631,0.9076915420106768,0.1324468056554906
binary,robust,svd,none,mlp_ann,0.9688692623154774,0.9434181987700372,0.8982608310837722,0.9202160571167192,0.6690386241204714,1.0767536670027764,0.000961486318071
binary,minmax,pca,filter_anova,svm,0.9684346460373524,0.94941813888972,0.8895593129562241,0.9184998104899448,0.9922156647751388,0.8917818053353889,0.145901902995926
binary,minmax,pca,filter_correlation,svm,0.9684346460373524,0.94941813888972,0.8895593129562241,0.9184998104899448,0.9922156647751388,0.9226489999855404,0.1459250136880048
binary,minmax,pca,filter_chi2,svm,0.9683479314592368,0.9477665972512036,0.8908704695313537,0.9184195660876576,0.9934424472319208,0.8764124303415883,0.1362875556612076
binary,standard,none,embedded_l1,svm,0.9683475458594912,0.9519396416600032,0.8865199941449,0.9180278346819278,0.9945671897959152,1.9248501109929448,0.2161599163276453
binary,minmax,svd,filter_anova,mlp_ann,0.9679996895241576,0.926641242918962,0.912610364661522,0.9194652505783308,0.6713066719789146,2.825884389002264,0.0007521806692238
binary,quantile,none,ga_selection,svm,0.9679126347109724,0.9442668681321044,0.8921674422404609,0.917466010521197,0.6723786396261994,1.0347986250029255,0.1558815556636545
binary,robust,svd,filter_anova,svm,0.9672172622753752,0.9490821629259854,0.8834738670778853,0.9150954556220716,0.672616909656433,0.9156384999999622,0.1507187356667903
binary,robust,svd,filter_correlation,svm,0.9672172622753752,0.9490821629259854,0.8834738670778853,0.9150954556220716,0.672616909656433,0.905525458336342,0.1493503750049664
binary,standard,svd,filter_anova,svm,0.9670433341077084,0.9482134210095292,0.8834784059150126,0.9146960202768596,0.6716401622952829,0.913871542007352,0.1696238606624926
binary,standard,svd,filter_correlation,svm,0.9670433341077084,0.9482134210095292,0.8834784059150126,0.9146960202768596,0.6716401622952829,1.0806170420061487,0.154912069653316
binary,robust,pca,filter_chi2,svm,0.9666955458193888,0.950596014360909,0.8791239590460727,0.9134526835046288,0.9933526121064248,0.9092537363273246,0.1290950140100903
binary,robust,svd,filter_chi2,svm,0.9664345855208748,0.9492629355709464,0.8791239590460727,0.9128370765485008,0.6731296589818635,0.8506021246721502,0.1285827226723389
binary,standard,svd,filter_anova,mlp_ann,0.966260770764898,0.9276285193220306,0.9017381476778742,0.9144776835772994,0.6669825933799322,1.9107052363397088,0.0009350833327819
binary,robust,svd,filter_correlation,mlp_ann,0.966260657353208,0.9295645875796849,0.8995640446939293,0.9142914066740518,0.6677792606360838,1.4910540416797933,0.000712805330598
binary,standard,none,ga_selection,mlp_ann,0.9661741242337962,0.9271377070885124,0.9017398497417968,0.9142482263821604,0.99007112453624,1.7197981529946749,0.000712291667393
binary,standard,svd,wrapper_rfe,svm,0.965825950345731,0.9474368482066124,0.8778235822091202,0.911302315178114,0.6716184255571459,0.9767495000075238,0.1704833889962173
binary,minmax,pca,embedded_l1,mlp_ann,0.9657394172263192,0.9242503552952078,0.9030464674797994,0.9134151267039736,0.9904238886662524,2.7427476390148513,0.0006979443229889
binary,standard,pca,filter_chi2,svm,0.96573873675618,0.9452938542194276,0.8795613894742097,0.911221530354654,0.9921153611905004,0.9659880689966182,0.1413402223358086
binary,standard,none,ga_selection,svm,0.965391334067606,0.9481613100101104,0.8747865328163598,0.9099821113278104,0.992508118896532,0.9234199030033778,0.1370742363214958
