rank,track,preprocessing,reduction,selection,model,accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec,baseline_accuracy,baseline_f1,delta_vs_baseline_accuracy,delta_vs_baseline_f1
1,binary,quantile,pca,none,svm,0.9762605743358512,0.9600497419749088,0.9195627284311624,0.9393491431931305,0.9954380538084054,1.1983474586547045,0.1794926526684624,0.9759997047666888,0.9386473437523838,0.0002608695691622,0.0007017994407465
2,binary,quantile,none,none,svm,0.9759997047666888,0.9599850796572108,0.9182578127570824,0.9386473437523838,0.6722355208749881,3.4339959026741176,0.2847362083266488,0.9759997047666888,0.9386473437523838,0.0,0.0
3,binary,quantile,svd,none,svm,0.9746084382017208,0.9592919848944228,0.9117372058691702,0.934880886612206,0.9949668026834174,1.148070416325936,0.1574930836698816,0.9759997047666888,0.9386473437523838,-0.0013912665649681,-0.0037664571401778
4,binary,quantile,none,embedded_l1,svm,0.9735649372427342,0.955328443244949,0.910435694322936,0.9322767242935608,0.6734177009411039,2.0275298889998035,0.2474701530009042,0.9759997047666888,0.9386473437523838,-0.0024347675239546,-0.0063706194588231
5,binary,standard,svd,none,svm,0.9719129372026316,0.9540997878921448,0.903042495997313,0.9278551923842504,0.6713731866251522,0.9640825416621132,0.2098747636773623,0.9759997047666888,0.9386473437523838,-0.0040867675640571,-0.0107921513681332
6,binary,minmax,svd,none,mlp_ann,0.9718258597071084,0.921840205234462,0.9386967636956572,0.9301776761288746,0.6711677994911801,3.411314125007872,0.0010637360004087,0.9714779353247608,0.9267083134921892,0.0003479243823475,0.0034693626366854
7,binary,minmax,pca,none,svm,0.971738963670289,0.9553049939208674,0.900867258304086,0.9272756124957788,0.9943677221700136,1.111672430667871,0.1555041390044303,0.9759997047666888,0.9386473437523838,-0.0042607410963998,-0.011371731256605
8,binary,robust,svd,none,svm,0.9716520222687935,0.9536070906951398,0.902172173978166,0.9271632111994093,0.6725110393167033,0.925624778009175,0.1353397363175948,0.9759997047666888,0.9386473437523838,-0.0043476824978951,-0.0114841325529745
9,binary,robust,pca,none,svm,0.9715650128202844,0.9544102791954484,0.9008661235948044,0.9268510539984214,0.9944497405673426,1.0639272083256703,0.1418490696717829,0.9759997047666888,0.9386473437523838,-0.0044346919464045,-0.0117962897539624
10,binary,standard,none,none,mlp_ann,0.9714779353247608,0.9526776810434372,0.9021676351410388,0.9267083134921892,0.987729453623172,1.280556500016246,0.001344763644738,0.9714779353247608,0.9267083134921892,0.0,0.0
11,binary,minmax,pca,none,mlp_ann,0.97130405252177,0.9279308271616274,0.9286903298940294,0.928281531423865,0.9902614932613414,2.223597319670565,0.0007816109961519,0.9714779353247608,0.9267083134921892,-0.0001738828029907,0.0015732179316758
12,binary,standard,pca,none,svm,0.9712172018496268,0.9543338348420056,0.8991277489750739,0.925893698515734,0.9944401684690568,1.0699783753273853,0.141215194336837,0.9759997047666888,0.9386473437523838,-0.0047825029170621,-0.0127536452366499
13,binary,robust,none,none,svm,0.9707823814304598,0.954675583488839,0.896520187045478,0.9246484733276006,0.6739731937267864,3.1519071946580275,0.2483644579964068,0.9759997047666888,0.9386473437523838,-0.005217323336229,-0.0139988704247832
14,binary,standard,none,none,svm,0.9706954400289644,0.9546414158338128,0.8960844586812634,0.9244114878301734,0.994633391316184,3.0067383889885,0.2462356113440667,0.9759997047666888,0.9386473437523838,-0.0053042647377243,-0.0142358559222104
15,binary,robust,none,embedded_l1,mlp_ann,0.9703476971053208,0.9454755199570868,0.903907711824692,0.9241857534346462,0.6684679306520174,1.4043741253359865,0.0010148746562966,0.9714779353247608,0.9267083134921892,-0.00113023821944,-0.002522560057543
16,binary,standard,pca,none,mlp_ann,0.9702608917978534,0.9426010213372388,0.9065186778821333,0.9241794560237936,0.9881876764213838,1.0614324719936123,0.0008028890006243,0.9714779353247608,0.9267083134921892,-0.0012170435269075,-0.0025288574683957
17,binary,robust,none,none,mlp_ann,0.9701737462553162,0.9464124530096452,0.902171039268884,0.9236869086634346,0.6643468837080649,1.3966551389991462,0.0013988749900211,0.9714779353247608,0.9267083134921892,-0.0013041890694447,-0.0030214048287545
18,binary,robust,none,embedded_l1,svm,0.9693041961463345,0.9509449879703044,0.8926054400232388,0.9208304178548392,0.6746340096129853,2.155998027670042,0.257291333323034,0.9759997047666888,0.9386473437523838,-0.0066955086203545,-0.0178169258975444
19,binary,robust,pca,none,mlp_ann,0.9692173227918528,0.9462967971665116,0.8969502418632834,0.920946339542903,0.985383511221437,1.0066260696718623,0.0009074306581168,0.9714779353247608,0.9267083134921892,-0.0022606125329079,-0.0057619739492862
20,binary,quantile,svd,filter_chi2,svm,0.9691303133433434,0.9542755835636616,0.8882634749563988,0.9200645029494492,0.993077936738766,1.0519944583356846,0.1712933196686208,0.9759997047666888,0.9386473437523838,-0.0068693914233454,-0.0185828408029347
