rank,track,preprocessing,reduction,selection,model,accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec,baseline_accuracy,baseline_f1,delta_vs_baseline_accuracy,delta_vs_baseline_f1
17,binary,robust,none,none,mlp_ann,0.9701737462553162,0.9464124530096453,0.9021710392688841,0.9236869086634346,0.6643468837080649,1.3966551389991462,0.0013988749900211333,0.9714779353247609,0.9267083134921892,-0.0013041890694447389,-0.0030214048287545703
18,binary,robust,none,embedded_l1,svm,0.9693041961463343,0.9509449879703045,0.8926054400232388,0.9208304178548393,0.6746340096129853,2.155998027670042,0.25729133332303405,0.9759997047666888,0.9386473437523838,-0.006695508620354507,-0.017816925897544467
19,binary,robust,pca,none,mlp_ann,0.9692173227918529,0.9462967971665117,0.8969502418632834,0.920946339542903,0.985383511221437,1.0066260696718625,0.0009074306581168668,0.9714779353247609,0.9267083134921892,-0.0022606125329079907,-0.0057619739492862365
20,binary,quantile,svd,filter_chi2,svm,0.9691303133433434,0.9542755835636617,0.8882634749563988,0.9200645029494491,0.9930779367387661,1.0519944583356846,0.17129331966862082,0.9759997047666888,0.9386473437523838,-0.006869391423345417,-0.018582840802934708
21,binary,standard,svd,none,mlp_ann,0.9689564985873668,0.9362367023145328,0.9065186778821333,0.9211323593686376,0.6682250397627203,1.3340811113303062,0.0010888889955822,0.9714779353247609,0.9267083134921892,-0.0025214367373941338,-0.0055759541235516075
22,binary,minmax,svd,filter_correlation,mlp_ann,0.9689561356699589,0.9463598696333263,0.8956407873520765,0.920111094737709,0.6733562064843651,2.6222948476691577,0.0008996803371700999,0.9714779353247609,0.9267083134921892,-0.002521799654802037,-0.006597218754480161
23,binary,standard,none,embedded_l1,mlp_ann,0.9689561356699589,0.9561785288794468,0.8856576150907257,0.9192190510613006,0.9842420900237693,1.4080215416712842,0.0010445416652752335,0.9714779353247609,0.9267083134921892,-0.002521799654802037,-0.007489262430888544
24,binary,quantile,pca,filter_chi2,svm,0.9688693757271674,0.954159279513963,0.8869568572183963,0.9193277449317371,0.9924361355941503,1.10981155532257,0.17160154167989575,0.9759997047666888,0.9386473437523838,-0.007130329039521488,-0.01931959882064671
25,binary,standard,svd,filter_chi2,svm,0.9688693303624915,0.9495338418204221,0.8917356853587327,0.9197127029080473,0.6712340653812631,0.9076915420106767,0.1324468056554906,0.9759997047666888,0.9386473437523838,-0.007130374404197393,-0.018934640844336492
26,binary,robust,svd,none,mlp_ann,0.9688692623154774,0.9434181987700372,0.8982608310837722,0.9202160571167193,0.6690386241204714,1.0767536670027764,0.0009614863180710333,0.9714779353247609,0.9267083134921892,-0.0026086730092834687,-0.006492256375469907
27,binary,minmax,pca,filter_anova,svm,0.9684346460373524,0.9494181388897199,0.8895593129562241,0.9184998104899448,0.9922156647751389,0.8917818053353889,0.145901902995926,0.9759997047666888,0.9386473437523838,-0.007565058729336438,-0.02014753326243901
28,binary,minmax,pca,filter_correlation,svm,0.9684346460373524,0.9494181388897199,0.8895593129562241,0.9184998104899448,0.9922156647751389,0.9226489999855403,0.14592501368800484,0.9759997047666888,0.9386473437523838,-0.007565058729336438,-0.02014753326243901
29,binary,minmax,pca,filter_chi2,svm,0.9683479314592368,0.9477665972512036,0.8908704695313537,0.9184195660876577,0.9934424472319208,0.8764124303415883,0.13628755566120762,0.9759997047666888,0.9386473437523838,-0.007651773307452037,-0.020227777664726054
30,binary,standard,none,embedded_l1,svm,0.9683475458594911,0.9519396416600033,0.8865199941449,0.9180278346819278,0.9945671897959153,1.9248501109929446,0.2161599163276453,0.9759997047666888,0.9386473437523838,-0.007652158907197726,-0.020619509070455955
31,binary,minmax,svd,filter_anova,mlp_ann,0.9679996895241576,0.9266412429189619,0.9126103646615219,0.9194652505783307,0.6713066719789146,2.825884389002264,0.0007521806692238333,0.9714779353247609,0.9267083134921892,-0.003478245800603297,-0.007243062913858456
32,binary,quantile,none,ga_selection,svm,0.9679126347109724,0.9442668681321044,0.8921674422404609,0.917466010521197,0.6723786396261994,1.0347986250029255,0.15588155566365455,0.9759997047666888,0.9386473437523838,-0.008087070055716405,-0.02118133323118676
33,binary,robust,svd,filter_anova,svm,0.9672172622753751,0.9490821629259854,0.8834738670778853,0.9150954556220716,0.672616909656433,0.9156384999999622,0.1507187356667903,0.9759997047666888,0.9386473437523838,-0.008782442491313769,-0.02355188813031217
34,binary,robust,svd,filter_correlation,svm,0.9672172622753751,0.9490821629259854,0.8834738670778853,0.9150954556220716,0.672616909656433,0.9055254583363421,0.1493503750049664,0.9759997047666888,0.9386473437523838,-0.008782442491313769,-0.02355188813031217
35,binary,standard,svd,filter_anova,svm,0.9670433341077084,0.9482134210095291,0.8834784059150126,0.9146960202768596,0.6716401622952829,0.9138715420073519,0.1696238606624926,0.9759997047666888,0.9386473437523838,-0.008956370658980473,-0.0239513234755242
36,binary,standard,svd,filter_correlation,svm,0.9670433341077084,0.9482134210095291,0.8834784059150126,0.9146960202768596,0.6716401622952829,1.0806170420061487,0.15491206965331603,0.9759997047666888,0.9386473437523838,-0.008956370658980473,-0.0239513234755242
37,binary,robust,pca,filter_chi2,svm,0.9666955458193889,0.950596014360909,0.8791239590460727,0.9134526835046287,0.9933526121064248,0.9092537363273246,0.12909501401009035,0.9759997047666888,0.9386473437523838,-0.009304158947299968,-0.025194660247755074
38,binary,robust,svd,filter_chi2,svm,0.9664345855208748,0.9492629355709464,0.8791239590460727,0.9128370765485007,0.6731296589818635,0.8506021246721502,0.12858272267233892,0.9759997047666888,0.9386473437523838,-0.009565119245814047,-0.02581026720388313
39,binary,standard,svd,filter_anova,mlp_ann,0.9662607707648979,0.9276285193220306,0.9017381476778742,0.9144776835772994,0.6669825933799322,1.9107052363397088,0.0009350833327819334,0.9714779353247609,0.9267083134921892,-0.005217164559862986,-0.012230629914889768
40,binary,robust,svd,filter_correlation,mlp_ann,0.966260657353208,0.9295645875796849,0.8995640446939293,0.9142914066740518,0.6677792606360838,1.4910540416797933,0.0007128053305980334,0.9714779353247609,0.9267083134921892,-0.005217277971552914,-0.012416906818137341
41,binary,standard,none,ga_selection,mlp_ann,0.9661741242337962,0.9271377070885124,0.9017398497417969,0.9142482263821604,0.99007112453624,1.7197981529946749,0.0007122916673930334,0.9714779353247609,0.9267083134921892,-0.005303811090964672,-0.012460087110028772
42,binary,standard,svd,wrapper_rfe,svm,0.965825950345731,0.9474368482066123,0.8778235822091202,0.9113023151781139,0.6716184255571459,0.9767495000075238,0.17048338899621737,0.9759997047666888,0.9386473437523838,-0.010173754420957803,-0.027345028574269903
43,binary,minmax,pca,embedded_l1,mlp_ann,0.9657394172263193,0.9242503552952078,0.9030464674797994,0.9134151267039736,0.9904238886662525,2.7427476390148513,0.0006979443229889667,0.9714779353247609,0.9267083134921892,-0.005738518098441614,-0.01329318678821556
44,binary,standard,pca,filter_chi2,svm,0.9657387367561799,0.9452938542194277,0.8795613894742097,0.9112215303546539,0.9921153611905003,0.9659880689966182,0.1413402223358086,0.9759997047666888,0.9386473437523838,-0.010260968010508908,-0.02742581339772987
45,binary,standard,none,ga_selection,svm,0.9653913340676059,0.9481613100101103,0.8747865328163598,0.9099821113278104,0.992508118896532,0.9234199030033778,0.13707423632149582,0.9759997047666888,0.9386473437523838,-0.010608370699082936,-0.028665232424573417
46,binary,standard,svd,wrapper_rfe,mlp_ann,0.9653910845618882,0.9273849839887576,0.8973899417099842,0.9120865926953691,0.6667152084232705,1.7850507500018769,0.0008631666714790667,0.9714779353247609,0.9267083134921892,-0.006086850762872742,-0.014621720796820115
47,binary,standard,svd,filter_correlation,mlp_ann,0.9653042565720827,0.9184964742164677,0.9073901346105622,0.9128056781241551,0.6661003292006821,1.7664797779968164,0.0007967636726485668,0.9714779353247609,0.9267083134921892,-0.006173678752678158,-0.013902635368034044
48,binary,minmax,pca,filter_correlation,mlp_ann,0.9653040524310409,0.9192257154782997,0.9065220820099786,0.9127267767768057,0.9881511535920637,3.0997913609899115,0.0014220833448537334,0.9714779353247609,0.9267083134921892,-0.006173882893720006,-0.013981536715383491
49,binary,robust,none,ga_selection,svm,0.9653040524310409,0.9468607174917856,0.8756483445158932,0.9098318258915298,0.6748472077052684,0.9911260140070226,0.1401818329953433,0.9759997047666888,0.9386473437523838,-0.010695652335647954,-0.028815517860854012
50,binary,robust,svd,filter_anova,mlp_ann,0.9652173605352633,0.9342504430221351,0.8886969339020495,0.9108775594339793,0.6673610195484864,1.6453034166673508,0.0006963746563996665,0.9714779353247609,0.9267083134921892,-0.006260574789497597,-0.015830754058209884
51,binary,minmax,svd,wrapper_rfe,mlp_ann,0.9652172471235733,0.9328433587045927,0.89088068191489,0.9110339205684471,0.6723934097988494,2.3333266389963683,0.0009254859954428667,0.9714779353247609,0.9267083134921892,-0.006260688201187636,-0.015674392923742064
52,binary,quantile,svd,filter_anova,svm,0.9651304191337678,0.9493728475725401,0.8721772688228412,0.9091195415875273,0.9905262360196585,1.154194444330642,0.18854738899972287,0.9759997047666888,0.9386473437523838,-0.010869285632921,-0.02952780216485651
53,binary,quantile,svd,filter_correlation,svm,0.9651304191337678,0.9493728475725401,0.8721772688228412,0.9091195415875273,0.9905262360196585,1.1392479583349389,0.18818531934327135,0.9759997047666888,0.9386473437523838,-0.010869285632921,-0.02952780216485651
54,binary,standard,pca,filter_anova,svm,0.96486916396486,0.9471179321144404,0.8730373784584521,0.90855090265626,0.991650394340667,0.9706229443448441,0.15559944464863892,0.9759997047666888,0.9386473437523838,-0.011130540801828848,-0.03009644109612375
55,binary,standard,pca,filter_correlation,svm,0.96486916396486,0.9471179321144404,0.8730373784584521,0.90855090265626,0.991650394340667,0.9630754586639038,0.1546013333330241,0.9759997047666888,0.9386473437523838,-0.011130540801828848,-0.03009644109612375
