track,preprocessing,reduction,selection,model,accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec
binary,quantile,pca,none,svm,0.9796557120500784,0.9636608344549124,0.9335071707953064,0.9483443708609272,0.9968058004012093,1.3366331669967622,0.1705813749867957
binary,quantile,none,none,svm,0.979394887845592,0.9648648648648648,0.9308996088657104,0.9475779694757795,0.997162034000329,11.317388708004728,0.3910657500091474
binary,quantile,svd,none,svm,0.9775691184141888,0.9607577807848444,0.9256844850065188,0.9428950863213812,0.996192381447116,1.681868875020882,0.2295068329840432
binary,quantile,none,embedded_l1,svm,0.9767866458007304,0.9568733153638814,0.9256844850065188,0.9410205434062292,0.9967556386294952,2.642386291990988,0.2932419579883571
binary,robust,pca,none,svm,0.9739175795513824,0.9562243502051984,0.9113428943937418,0.9332443257676902,0.996413433322465,2.1281213750189636,0.1893000830023083
binary,minmax,svd,none,mlp_ann,0.9737836630279206,0.9247499719343801,0.9458547935226255,0.9351756640959725,0.5106111630451545,3.680557187006343,0.00152349998825225
binary,robust,svd,none,svm,0.97339593114241,0.9548563611491108,0.910039113428944,0.931909212283044,0.9962472193161932,1.4850095829751808,0.1726816250011325
binary,quantile,none,ga_selection,svm,0.9726134585289516,0.9521857923497268,0.908735332464146,0.9299533022014675,0.9952257045922251,1.228384707996156,0.1893822080164682
binary,robust,svd,none,mlp_ann,0.9723526343244652,0.9448183041722744,0.9152542372881356,0.9298013245033112,0.9870467852043178,1.5526269580004737,0.0011538749968167
binary,minmax,pca,none,mlp_ann,0.9719573832439127,0.9323846726190477,0.9269337999257901,0.9296391256147619,0.9918027089214735,2.500955416515353,0.00100920799013685
binary,robust,none,embedded_l1,mlp_ann,0.9718270051651766,0.9538105335963123,0.9027976824697628,0.9275749185865301,0.9894107985463811,3.0051672705012606,0.1592780419887276
binary,standard,none,none,mlp_ann,0.9716964229453986,0.9531212047607482,0.9027951293738787,0.9272359464606549,0.9885155734137314,1.2486786460067378,0.00145285399048585
binary,standard,svd,none,svm,0.9715662490077044,0.950648289080557,0.9047593111406892,0.9271363239299113,0.5101268119692368,0.961224062499241,0.1387325414980296
binary,robust,none,none,mlp_ann,0.9713054928502323,0.9549520128478012,0.8988888926712532,0.9260709035356923,0.984854871086128,1.1016551040083868,0.0012415624951245
binary,minmax,pca,none,svm,0.9713052887091903,0.9518122394846533,0.9021483450832479,0.9263146324995681,0.9948354868755849,1.6254275205137674,0.1590953959967009
binary,quantile,pca,filter_chi2,svm,0.9710485133020345,0.9593837535014006,0.8930899608865711,0.925050641458474,0.9929875543543182,1.27252891700482,0.1881947919900994
binary,robust,none,none,svm,0.9709139843554471,0.9510811718434279,0.9008428620545272,0.9252777947371635,0.9950435942967448,3.200454375008121,0.2581925205013249
binary,standard,pca,none,svm,0.9709139843554471,0.9510811718434279,0.9008428620545272,0.9252777947371635,0.994909286774537,1.1348227504931856,0.1481472909945296
binary,quantile,svd,filter_chi2,svm,0.970526864893062,0.961864406779661,0.8878748370273793,0.9233898305084746,0.9937425315285864,1.4855286669917405,0.1709972920070868
binary,standard,none,none,svm,0.9705226800017039,0.9509762082577615,0.8988854885434077,0.9241933996531816,0.9950292383004669,4.483921479011769,0.26673337498505134
binary,standard,none,embedded_l1,mlp_ann,0.9702617537266968,0.9471883927228988,0.9014913484090809,0.9237397650313952,0.9867659052548732,1.4594040415104246,0.00121145800221705
binary,robust,pca,none,mlp_ann,0.9700052164840898,0.9490358126721764,0.8983050847457628,0.9229738780977896,0.9854411834097166,1.7738456669903826,0.0027284579991828
binary,standard,pca,none,mlp_ann,0.969218627026287,0.9432740286680745,0.9001952267319351,0.9212296061992786,0.9884657568274626,1.103079104505014,0.0007756039995001
binary,minmax,svd,filter_correlation,mlp_ann,0.9690877385949461,0.9458191958746089,0.8969162005848292,0.9204350984824023,0.5146032838218741,2.8664482704916736,0.0010796665010275
binary,robust,pca,filter_anova,mlp_ann,0.968961919666145,0.935483870967742,0.907431551499348,0.9212442091330244,0.985949602723019,2.341378542012535,0.0015729159931652
binary,standard,svd,filter_chi2,svm,0.9688270845079949,0.9474100064281121,0.8936661095244094,0.9197446114181143,0.5103350763643242,0.9102222295041429,0.12679522899270518
binary,robust,svd,filter_anova,svm,0.9687010954616588,0.9549929676511956,0.8852672750977836,0.918809201623816,0.994900078175846,1.735989500011783,0.1823501669859979
binary,robust,svd,filter_chi2,svm,0.9687010954616588,0.9549929676511956,0.8852672750977836,0.918809201623816,0.994900078175846,1.24291133301449,0.1465167499845847
binary,robust,svd,filter_correlation,mlp_ann,0.9687010954616588,0.9425444596443228,0.8983050847457628,0.9198931909212285,0.9860265457796308,1.8296487919869833,0.0010523330129217
binary,robust,svd,filter_correlation,svm,0.9687010954616588,0.9549929676511956,0.8852672750977836,0.918809201623816,0.994900078175846,1.219514333002735,0.1675930829951539
binary,robust,svd,wrapper_rfe,mlp_ann,0.9687010954616588,0.941336971350614,0.8996088657105606,0.92,0.9842997905533482,1.9148802080017049,0.0011108750186394
binary,standard,none,embedded_l1,svm,0.9685662603035088,0.9473684210526316,0.8923640306235341,0.919043866490464,0.994607996070773,2.0598759789863834,0.2147235420125071
binary,robust,none,embedded_l1,svm,0.9684359162482796,0.9467001915708813,0.8923640306235341,0.918727606002764,0.9946021828592991,5.906663291490986,0.505270395995467
binary,standard,svd,none,mlp_ann,0.9683056062165574,0.9346376914260388,0.9047584601087278,0.9194468834238173,0.5106366187615747,1.0802799789962592,0.0008440624951617001
binary,minmax,svd,filter_anova,mlp_ann,0.9683053000049947,0.9287776538521271,0.911940318830614,0.9201278038308228,0.5142585874169396,2.755592104003881,0.0021449795021908
binary,robust,pca,filter_chi2,svm,0.9679186228482004,0.9548022598870056,0.8813559322033898,0.9166101694915254,0.993694495255674,1.59022250000271,0.1573807079985272
binary,quantile,none,embedded_l1,mlp_ann,0.967396974439228,0.9268617021276596,0.908735332464146,0.9177090190915076,0.9905508825283572,1.3023075829842128,0.001349875004962
binary,standard,svd,filter_anova,svm,0.9673925513833209,0.94767224419035,0.8858434237356219,0.9157136309569278,0.5117696094889982,0.957921396009624,0.16645316648646255
binary,standard,svd,filter_correlation,svm,0.9673925513833209,0.94767224419035,0.8858434237356219,0.9157136309569278,0.5117696094889982,1.0176326670043636,0.14022395799111104
binary,standard,svd,filter_anova,mlp_ann,0.9672622753751058,0.9331094456497127,0.9008471172143341,0.916693544407315,0.507568567700912,1.623805937502766,0.00073104200419035
binary,robust,svd,wrapper_sfs,svm,0.9671361502347418,0.9408528198074276,0.8917861799217731,0.9156626506024096,0.9902405597033485,1.057086957996944,0.156629957986297
binary,minmax,pca,filter_chi2,svm,0.9671318632728627,0.9445347779849884,0.8878050524065482,0.9152637577336372,0.9938577169148085,0.8818949590058764,0.12293916649650775
binary,standard,svd,filter_correlation,mlp_ann,0.9670015192176336,0.92896110056926,0.9041099737541745,0.9163661399252507,0.5100042789756813,1.7422892705071718,0.00085977099661245
binary,robust,pca,filter_anova,svm,0.9666145018257696,0.9570815450643776,0.8722294654498044,0.91268758526603,0.9933620672431304,1.400659209000878,0.1903340830176603
binary,robust,pca,filter_correlation,svm,0.9666145018257696,0.9570815450643776,0.8722294654498044,0.91268758526603,0.9933620672431304,1.670485666021705,0.18486574999406
binary,minmax,pca,filter_anova,svm,0.9666097045112857,0.9468544810618527,0.8825788651318589,0.9135836072285544,0.9920288120474985,0.9574480834853603,0.14515904200379737
binary,minmax,pca,filter_correlation,svm,0.9666097045112857,0.9468544810618527,0.8825788651318589,0.9135836072285544,0.9920288120474985,1.084605770505732,0.1399647919897688
binary,minmax,svd,wrapper_rfe,mlp_ann,0.9664796666676193,0.9325396825396826,0.8975936220260687,0.9145896057553551,0.5125701166218338,3.032635854004184,0.00418904150137675
binary,minmax,pca,filter_correlation,mlp_ann,0.9664794285030704,0.9267040324671263,0.9041116758180969,0.9151940612691045,0.9897243214125034,3.0902342080080416,0.00098052099929185
binary,standard,pca,filter_chi2,svm,0.9664792243620287,0.9448529626322577,0.8838792419688113,0.9133360294084235,0.992716714195687,0.9767648749984801,0.151139437497477
binary,standard,none,ga_selection,svm,0.966219012580668,0.9479562507294512,0.8793245189116323,0.9123487634470665,0.9925223489844672,1.051675062510185,0.1951249579869909
binary,robust,svd,wrapper_rfe,svm,0.9660928534167972,0.9543509272467904,0.8722294654498044,0.9114441416893732,0.9942624285354166,1.2159147080092223,0.1901214579993393
binary,standard,svd,wrapper_rfe,mlp_ann,0.9659577460705913,0.9327441426498031,0.894324808262499,0.9131069080844193,0.5071674902659195,1.6980923959927168,0.00068031300907015
binary,robust,none,ga_selection,svm,0.9658271978743203,0.9459321018787039,0.8793134554961346,0.9113780996269475,0.992950336759313,1.5359745419991666,0.1746635624876944
binary,quantile,svd,none,mlp_ann,0.9655712050078248,0.9379310344827586,0.8865710560625815,0.9115281501340484,0.9880270652515378,1.770428959018318,0.0014507909945677
binary,robust,svd,filter_anova,mlp_ann,0.9655712050078248,0.9415855354659248,0.8826597131681877,0.911170928667564,0.982801313898339,3.0121955829963554,0.0022332090011332
binary,standard,none,ga_selection,mlp_ann,0.9655669520694525,0.9278418391473574,0.8975902178982234,0.9124637268184742,0.9899387771658212,1.969764707988361,0.0007821670005796
binary,standard,svd,wrapper_rfe,svm,0.9655664757403549,0.9465073849859749,0.8773611881767831,0.9106230733088092,0.5117370043817927,0.9757872499903897,0.1445120205025887
binary,quantile,svd,filter_anova,svm,0.9653103808033384,0.9490084985835694,0.8735332464146024,0.9097080787508486,0.9913322158877635,1.400489415973425,0.2124012500280514
binary,quantile,svd,filter_correlation,svm,0.9653103808033384,0.9490084985835694,0.8735332464146024,0.9097080787508486,0.9913322158877635,1.5372018330090214,0.2132024169841315
binary,standard,pca,filter_correlation,mlp_ann,0.965175001269077,0.930567074434999,0.8923597754637274,0.911045108199531,0.9838670621669784,1.8171070410026005,0.0007701459981035001
binary,standard,pca,filter_anova,svm,0.9651748651750489,0.9469553072625698,0.8747451159275738,0.90939331523524,0.9922006281027655,1.0261584999971092,0.14643577049719164
binary,standard,pca,filter_correlation,svm,0.9651748651750489,0.9469553072625698,0.8747451159275738,0.90939331523524,0.9922006281027655,0.9785147500078892,0.1482657500018831
binary,minmax,pca,filter_anova,mlp_ann,0.9649144832761535,0.903614369393837,0.9230284142551258,0.9132024390650251,0.9906283167250316,3.330825687502511,0.00156958300794935
binary,robust,pca,filter_correlation,mlp_ann,0.9647887323943662,0.927027027027027,0.894393741851369,0.9104180491041804,0.9820724803593284,2.9354919170145877,0.0418312500114552
binary,quantile,pca,none,mlp_ann,0.96452790818988,0.9339752407152684,0.8852672750977836,0.9089692101740294,0.9888985197601248,1.1172088749881368,0.0008976670214906
binary,robust,pca,wrapper_sfs,svm,0.96452790818988,0.9462517680339464,0.8722294654498044,0.9077340569877884,0.9901453373570442,5.531384166999487,0.5736874580034055
binary,minmax,pca,embedded_l1,mlp_ann,0.9645235531809869,0.914573607220666,0.9073728302940146,0.9109526766690796,0.9903425843395177,3.548227103994577,0.0017756875022313999
binary,minmax,pca,wrapper_rfe,mlp_ann,0.9645235531809869,0.914573607220666,0.9073728302940146,0.9109526766690796,0.9903425843395177,3.9668797704944154,0.0018719795189099
binary,robust,none,ga_selection,mlp_ann,0.9640011222313543,0.9192844599432213,0.8988786802877169,0.9088633561752627,0.98716768446408,2.29799393749272,0.003980583511292901
binary,minmax,none,embedded_l1,svm,0.963870642082097,0.9517514166402696,0.8630059810526245,0.9052029015497466,0.9939842074018355,4.0819527079875115,0.28163252100057434
binary,minmax,none,none,svm,0.963870642082097,0.9517514166402696,0.8630059810526245,0.9052029015497466,0.9939842074018355,3.6203659169987077,0.2752136455092113
binary,quantile,none,none,mlp_ann,0.9634846113719352,0.9472182596291012,0.8657105606258149,0.904632152588556,0.9807523330537592,4.44385575002525,0.0126778749981895
binary,robust,pca,embedded_l1,svm,0.9634846113719352,0.9617083946980854,0.8513689700130378,0.9031811894882434,0.9918104531180856,2.203629166993778,0.2053235000057611
binary,robust,pca,wrapper_rfe,svm,0.9634846113719352,0.9617083946980854,0.8513689700130378,0.9031811894882434,0.9918104531180856,2.967285582999466,0.536923832987668
binary,robust,svd,embedded_l1,svm,0.9634846113719352,0.9617083946980854,0.8513689700130378,0.9031811894882434,0.9917120425235793,1.6282232079829555,0.1744580420199781
binary,minmax,pca,embedded_l1,svm,0.9632187857119235,0.94531690155117,0.8662764968801169,0.9040357347917903,0.9908359113626687,1.2904879580019042,0.15933312498964364
binary,minmax,pca,wrapper_rfe,svm,0.9632187857119235,0.94531690155117,0.8662764968801169,0.9040357347917903,0.9908359113626687,1.1109486459899927,0.17215279149240809
binary,minmax,none,ga_selection,mlp_ann,0.9630877611865548,0.9438274681350345,0.8669164729150568,0.9037356441440316,0.9906059415492023,1.7638975620066049,0.0012806039885617001
binary,standard,pca,embedded_l1,mlp_ann,0.9629580635779582,0.9149492455709078,0.8982378532208155,0.9065165383815269,0.9828925272098281,1.9701659999991534,0.0007508540002163
binary,standard,pca,wrapper_rfe,mlp_ann,0.9629580635779582,0.9149492455709078,0.8982378532208155,0.9065165383815269,0.9828925272098281,1.8936656045116251,0.00089804148592515
binary,standard,pca,filter_anova,mlp_ann,0.9629578934604235,0.9194125712636212,0.8930176231698557,0.9060225016545335,0.9868603193011762,1.7527863335126312,0.00066289598180445
binary,quantile,none,filter_anova,svm,0.9624413145539906,0.9482014388489208,0.8591916558018253,0.9015047879616964,0.985184848254264,1.4326823750161566,0.2240836249839048
binary,quantile,none,filter_chi2,svm,0.9624413145539906,0.9482014388489208,0.8591916558018253,0.9015047879616964,0.985184848254264,1.5307607910071963,0.194846750004217
binary,quantile,none,filter_correlation,svm,0.9624413145539906,0.9482014388489208,0.8591916558018253,0.9015047879616964,0.985184848254264,1.3820967499923429,0.1940797080169432
binary,standard,svd,embedded_l1,svm,0.9621754888939789,0.9411223050574249,0.8649718648833575,0.9014305685533719,0.9905128455341407,0.9949817290034844,0.1480065209907479
binary,standard,pca,embedded_l1,svm,0.9616537043909785,0.9409277698751382,0.862360047793955,0.8999319264805992,0.9910426114039435,1.014806437509833,0.1482778544886969
binary,standard,pca,wrapper_rfe,svm,0.9616537043909785,0.9409277698751382,0.862360047793955,0.8999319264805992,0.9910426114039435,0.9665570625074906,0.1458731250022538
binary,minmax,none,ga_selection,svm,0.9616535342734436,0.9531874769892033,0.8499639162448385,0.8986206896551723,0.9926504810447201,1.1091015209822217,0.14952870851266192
binary,minmax,svd,embedded_l1,mlp_ann,0.9615231561947074,0.9171445178047606,0.8877999462147801,0.9022287202392723,0.9891673390300129,2.5974099169834517,0.0007137080247048
binary,minmax,svd,wrapper_sfs,mlp_ann,0.9613925059279156,0.91031770024114,0.8956311423231811,0.9027863279196525,0.5155600647136784,2.241317103995243,0.0016939375054789499
binary,minmax,svd,ga_selection,mlp_ann,0.9611320559820062,0.9165120121103615,0.8864902080262527,0.9011706633583116,0.9898832303346767,2.4062429999903543,0.00129500000912225
binary,quantile,none,ga_selection,mlp_ann,0.9608763693270737,0.906455862977602,0.8970013037809648,0.9017038007863696,0.9873515817324432,2.1014234170143027,0.0009039999858941
binary,minmax,svd,ga_selection,svm,0.960610135384978,0.9319460754565301,0.866267135528542,0.8978533779363296,0.9896874399848348,0.9203104164917022,0.15369583299616352
binary,robust,svd,ga_selection,svm,0.9603547209181011,0.9528718703976436,0.8435462842242504,0.8948824343015215,0.9876733822509798,1.473172042024089,0.1738454999867826
binary,minmax,pca,filter_chi2,mlp_ann,0.9599577346386927,0.8993792980641222,0.9008471172143341,0.9000430658465752,0.985428675709459,0.7400719579891302,0.00068958351039325
