track,fold,preprocessing,reduction,selection,model,accuracy,precision,recall,f1,error_rate,roc_auc,fit_time_sec,predict_time_sec,status,skip_reason
binary,1,standard,none,none,knn,0.9295774647887324,0.9979959919839679,0.6492829204693612,0.7867298578199052,0.07042253521126762,0.9160300443506579,0.0048346669937018305,0.481505208008457,ok,
binary,1,standard,none,none,svm,0.9731351069379238,0.9560439560439561,0.9074315514993481,0.9311036789297659,0.02686489306207618,0.9965241718100195,3.144712499983143,0.25763487501535565,ok,
binary,1,standard,none,none,decision_tree,0.9410537297861241,0.9079939668174962,0.7848761408083442,0.8419580419580419,0.058946270213875884,0.8451801551529105,0.9450629999919329,0.0010177090007346123,ok,
binary,1,standard,none,none,logistic_regression,0.8215962441314554,0.9770114942528736,0.11082138200782268,0.1990632318501171,0.17840375586854462,0.5214643496462532,0.35631404200103134,0.0005205410125199705,ok,
binary,1,standard,none,none,lda_classifier,0.8242044861763171,0.9428571428571428,0.1290743155149935,0.22706422018348624,0.17579551382368286,0.5221895698373016,0.18441641601384617,0.0023832919832784683,ok,
binary,1,standard,none,none,mlp_ann,0.9752217005738133,0.9565217391304348,0.9178617992177314,0.9367930805056554,0.0247782994261867,0.9886638646924468,1.4915322080196347,0.0014881249808240682,ok,
binary,1,standard,none,filter_chi2,knn,0.9402712571726656,0.9702797202797203,0.7235984354628422,0.8289768483943242,0.059728742827334425,0.9382920936970883,0.002343666012166068,0.07239295900217257,ok,
binary,1,standard,none,filter_chi2,svm,0.9616588419405321,0.9403409090909091,0.863102998696219,0.9000679809653297,0.03834115805946792,0.9866318878382785,0.9982747500180267,0.1503995829843916,ok,
binary,1,standard,none,filter_chi2,decision_tree,0.9358372456964006,0.9001536098310292,0.7640156453715776,0.8265162200282088,0.06416275430359941,0.8479430910448909,0.091022292006528,0.0004186249861959368,ok,
binary,1,standard,none,filter_chi2,logistic_regression,0.8072509128847157,0.9666666666666667,0.03780964797913951,0.07277289836888332,0.19274908711528427,0.5200385650502533,0.2829102090036031,0.00012795798829756677,ok,
binary,1,standard,none,filter_chi2,lda_classifier,0.8095983307250912,0.9512195121951219,0.05084745762711865,0.09653465346534654,0.19040166927490876,0.5242385506818813,0.016996667021885514,0.00015079198055900633,ok,
binary,1,standard,none,filter_chi2,mlp_ann,0.9470526864893062,0.8700787401574803,0.864406779661017,0.8672334859385219,0.052947313510693816,0.9781107631433407,0.765593166986946,0.0007781249878462404,ok,
binary,1,standard,none,filter_anova,knn,0.9402712571726656,0.9702797202797203,0.7235984354628422,0.8289768483943242,0.059728742827334425,0.9382920936970883,0.0015347909939009696,0.06107620900729671,ok,
